 Radioactive Decay Experiment Thu, Oct 07, 2010 10:15 AM
Sample Number	Number of Counts
1	70
2	73
3	72
4	65
5	86
6	82
7	70
8	91
9	83
10	71
11	77
12	88
13	89
14	89
15	75
16	76
17	75
18	62
19	65
20	90
21	76
22	69
23	78
24	76
25	78
26	63
27	91
28	80
29	70
30	73
31	81
32	72
33	77
34	88
35	71
36	75
37	70
38	75
39	76
40	83
41	70
42	81
43	87
44	79
45	89
46	66
47	81
48	66
49	75
50	88
51	81
52	80
53	86
54	86
55	80
56	74
57	80
58	77
59	78
60	80
61	77
62	91
63	78
64	81
65	75
66	69
67	81
68	93
69	80
70	69
71	81
72	63
73	71
74	78
75	63
76	63
77	77
78	79
79	68
80	88
81	71
82	60
83	67
84	69
85	63
86	74
87	54
88	66
89	82
90	70
91	78
92	66
93	68
94	73
95	74
96	74
97	74
98	64
99	84
100	72
