Time (Seconds)	Amplitude (Volts)
0.131619	3.258248
0.131627	3.247364
0.131636	3.224028
0.131644	3.186353
0.131652	3.133876
0.131661	3.067180
0.131669	2.987500
0.131677	2.896462
0.131686	2.795911
0.131694	2.687727
0.131702	2.573682
0.131710	2.455377
0.131719	2.334211
0.131727	2.211374
0.131735	2.087836
0.131744	1.964380
0.131752	1.841668
0.131760	1.720248
0.131769	1.600535
0.131777	1.482806
0.131785	1.367254
0.131793	1.254021
0.131802	1.143190
0.131810	1.034784
0.131818	0.928774
0.131827	0.825109
0.131835	0.723741
0.131843	0.624603
0.131852	0.527608
0.131860	0.432671
0.131868	0.339710
0.131876	0.248653
0.131885	0.159433
0.131893	0.071999
0.131901	-0.013695
0.131910	-0.097709
0.131918	-0.180092
0.131926	-0.260872
0.131935	-0.340068
0.131943	-0.417708
0.131951	-0.493822
0.131959	-0.568447
0.131968	-0.641609
0.131976	-0.713321
0.131984	-0.783613
0.131993	-0.852507
0.132001	-0.920002
0.132009	-0.986111
0.132018	-1.050869
0.132026	-1.114300
0.132034	-1.176414
0.132042	-1.237219
0.132051	-1.296734
0.132059	-1.354987
0.132067	-1.411999
0.132076	-1.467791
0.132084	-1.522387
0.132092	-1.575812
0.132101	-1.628084
0.132109	-1.679215
0.132117	-1.729222
0.132125	-1.778131
0.132134	-1.825952
0.132142	-1.872684
0.132150	-1.918340
0.132159	-1.962956
0.132167	-2.006572
0.132175	-2.049199
0.132184	-2.090835
0.132192	-2.131484
0.132200	-2.171166
0.132208	-2.209896
0.132217	-2.247687
0.132225	-2.284555
0.132233	-2.320513
0.132242	-2.355564
0.132250	-2.389720
0.132258	-2.423004
0.132267	-2.455442
0.132275	-2.487058
0.132283	-2.517873
0.132291	-2.547885
0.132300	-2.577096
0.132308	-2.605526
0.132316	-2.633196
0.132325	-2.660109
0.132333	-2.686259
0.132341	-2.711665
0.132350	-2.736353
0.132358	-2.760334
0.132366	-2.783605
0.132374	-2.806170
0.132383	-2.828049
0.132391	-2.849266
0.132399	-2.869833
0.132408	-2.889754
0.132416	-2.909019
0.132424	-2.927642
0.132433	-2.945658
0.132441	-2.963081
0.132449	-2.979917
0.132457	-2.996175
0.132466	-3.011863
0.132474	-3.026991
0.132482	-3.041560
0.132491	-3.055572
0.132499	-3.069039
0.132507	-3.081964
0.132516	-3.094358
0.132524	-3.106235
0.132532	-3.117609
0.132540	-3.128488
0.132549	-3.138863
0.132557	-3.148739
0.132565	-3.158122
0.132574	-3.167029
0.132582	-3.175484
0.132590	-3.183492
0.132599	-3.191051
0.132607	-3.198173
0.132615	-3.204881
0.132623	-3.211188
0.132632	-3.217094
0.132640	-3.222602
0.132648	-3.227713
0.132657	-3.232429
0.132665	-3.236762
0.132673	-3.240727
0.132682	-3.244319
0.132690	-3.247079
0.132698	-3.246429
